# Svaki redak je oblika: [x1, x2, x3, x4, x5, y].
[-0.160,  2.320, -3.500, -2.660,  4.620, -171.36699979479872]
[-0.870,  2.380, -2.770, -4.620,  2.350, -77.77052193414312]
[-1.380, -4.120, -4.530,  2.480, -0.760, -37.81539134581623]
[ 4.570,  0.050,  2.240,  2.300, -1.460, 66.49285583480545]
[ 0.190, -1.200, -0.900, -4.930, -3.120, -142.29787708092266]
[ 1.260, -0.520,  2.280, -4.750, -1.100, 12.049860325702245]
[ 1.650,  3.510, -0.050,  0.560, -1.640, -29.538432212221274]
[-1.400, -1.690, -0.470,  1.340, -2.030, -6.694032679028332]
[-0.760,  1.300,  1.240,  0.020,  3.190, 10.81258978219227]
[ 2.320, -1.010,  1.990, -0.820,  3.870, 20.501960308630863]
[ 2.260, -3.440, -3.510, -2.830,  2.550, 79.76362779005981]
[ 2.350,  2.500, -1.790,  2.450, -3.820, 26.865253294441743]
[-4.140, -2.230, -1.220, -4.650,  4.290, -759.72550949069]
[-0.040, -2.300, -3.980,  3.280, -2.600, 66.24113395811048]
[ 3.340, -3.600,  4.540, -3.320, -4.460, 253.86877150367545]
[-4.770,  4.610,  2.250,  1.050,  0.080, 1467.6191660121754]
[-1.660, -2.550, -0.220, -3.030,  4.510, -231.41576698683608]
[-0.940, -0.580,  3.370,  1.810, -2.510, 122.58468874880538]
[ 4.100, -2.470, -2.600, -1.430,  1.020, 535.0289456402061]
[-1.380, -3.780, -1.240, -1.150,  4.190, -100.00357415185884]
